question,references,corpus_id,worst_ref_score
How many new jobs were created in the first three years mentioned in President Biden's address?,"[{'content': 'Fifteen million new jobs in just three years.', 'start_index': 8805, 'end_index': 8850}]",state_of_the_union,
"As of the statement, how much has the racial wealth gap decreased?","[{'content': 'The racial wealth gap is the smallest it’s been in 20 years.', 'start_index': 9365, 'end_index': 9425}]",state_of_the_union,
Which late friend and former colleague of many present at the event was mentioned as having participated in the march?,"[{'content': 'John Lewis was on that march. We miss him.', 'start_index': 32922, 'end_index': 32964}]",state_of_the_union,
"How long is the waiting period for a hearing for those let into the country, according to President Biden's statement?","[{'content': 'by — if they get by and let into the country, it’s six to eight years before they have a hearing.', 'start_index': 30561, 'end_index': 30658}]",state_of_the_union,
How much has President Biden signed to cut from the federal deficit in the next decade through a bipartisan deal?,"[{'content': 'I signed a bipartisan deal to cut another trillion dollars in the next decade.', 'start_index': 22228, 'end_index': 22306}]",state_of_the_union,
What provisions does the bipartisan bill include to address security and immigration case backlogs?,"[{'content': 'That bipartisan bill would hire 1,500 more security agents and officers, 100 more immigration judges to help tackle the backload of 2 million cases, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now.', 'start_index': 28463, 'end_index': 28722}]",state_of_the_union,
How can Ukraine stop Putin according to President Biden?,"[{'content': 'But Ukraine — Ukraine can stop Putin. Ukraine can stop Putin if we stand with Ukraine and provide the weapons that it needs to defend itself.', 'start_index': 1232, 'end_index': 1373}]",state_of_the_union,
"What action did President Biden promise to take if someone tries to cut Social Security or Medicare, or raise the retirement age?","[{'content': 'If anyone here tries to cut Social Security or Medicare or raise the retirement age, I will stop you.', 'start_index': 25752, 'end_index': 25853}]",state_of_the_union,
"During which global event was President Biden born, and what did America stand for at that time?","[{'content': 'I was born amid World War Two, when America stood for the freedom of the world.', 'start_index': 45270, 'end_index': 45349}]",state_of_the_union,
"How many more asylum officers does the new bill propose, and what impact will it have on the case resolution time?","[{'content': 's, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now.', 'start_index': 28609, 'end_index': 28722}]",state_of_the_union,
How are the vaccines that were developed for COVID-19 now being utilized according to President Biden?,"[{'content': 'The pandemic no longer controls our lives. The vaccine that saved us from COVID is — are now being used to beat cancer.', 'start_index': 8495, 'end_index': 8614}]",state_of_the_union,
What minimum tax rate does President Biden propose for big corporations?,"[{'content': 'It’s time to raise the corporate minimum tax to at least 21 percent so every big corporation finally begins to pay their fair share.', 'start_index': 24137, 'end_index': 24269}]",state_of_the_union,
How many new manufacturing jobs have been created in America recently?,"[{'content': 'Eight hundred thousand new manufacturing jobs in America and counting.', 'start_index': 9103, 'end_index': 9173}]",state_of_the_union,
What will happen if the United States walks away according to President Biden's speech?,"[{'content': 'If the United States walks away, it will put Ukraine at risk. Europe is at risk. The free world will be at risk, emboldening others to do what they wish to do us harm.', 'start_index': 2741, 'end_index': 2908}]",state_of_the_union,
What is the purpose of adding one hundred more high-tech drug detection machines according to President Biden's speech?,"[{'content': 'One hundred more high-tech drug detection machines to significantly increase the ability to screen and stop vehicles smuggling fentanyl into America that’s killing thousands of children.', 'start_index': 28752, 'end_index': 28938}]",state_of_the_union,
Who are the Americans mentioned as being unjustly detained by the Russians that President Biden vows to work around the clock to bring home?,"[{'content': 'We also — we will also work around the clock to bring home Evan and Paul — Americans being unjustly detained by the Russians — and others around the world.', 'start_index': 38834, 'end_index': 38989}]",state_of_the_union,
What inspired President Biden to pursue a career in service?,"[{'content': 'I watched in horror as two of my heroes \n— like many of you did — Dr. King and Bobby Kennedy, were assassinated. And their legacies inspired me to pur- \n— pursue a car- \n— a career in service.', 'start_index': 45463, 'end_index': 45655}]",state_of_the_union,
What specific event does President Biden mention that his predecessor and some attendees are trying to bury the truth about?,"[{'content': 'My predecessor and some of you here seek to bury the truth about January 6th. I will not do that.', 'start_index': 3784, 'end_index': 3881}]",state_of_the_union,
What measures has President Biden's administration proposed to reveal the total costs of services upfront?,"[{'content': 'My administration has proposed rules to make cable, travel, utilities, and online ticket sellers tell you the total price up front so there are no surprises.', 'start_index': 27858, 'end_index': 28015}]",state_of_the_union,
What are some specific benefits mentioned in President Biden's State of the Union Address due to the CHIPS and Science Act and other policies?,"[{'content': 'And thanks to our CHIPS and Science Act the United States is investing more in research and development than ever before.', 'start_index': 10338, 'end_index': 10459}, {'content': 'Well, instead of having to import them, instead of — private companies are now investing billions of dollars to build new chip factories here in America creating tens of thousands of jobs, many of those jobs paying $100,000 a year and don’t require a college degree.', 'start_index': 10654, 'end_index': 10920}, {'content': 'In fact, my policies have attracted $650 billion in private-sector investment in clean energy, advanced manufacturing, creating tens of thousands of jobs here in America.', 'start_index': 10922, 'end_index': 11092}, {'content': 'And thanks — and thanks to our Bipartisan Infrastructure Law, 46,000 new projects have been announced all across your communities.', 'start_index': 11094, 'end_index': 11224}]",state_of_the_union,
What specific American values does President Biden emphasize in his speech?,"[{'content': 'My lifetime has taught me to embrace freedom and democracy, a future based on core values that have defined America \n— honesty, decency, dignity, and equality; to respect everyone; to give everyone a fair shot; to give hate no safe harbor.', 'start_index': 44905, 'end_index': 45144}]",state_of_the_union,
What specific actions did President Biden request from Congress in relation to IVF treatments during his State of the Union Address?,"[{'content': 'So, tonight, let’s stand up for families like hers. To my friends across the aisle — don’t keep this waiting any longer. Guarantee the right to IVF. Guarantee it nationwide.', 'start_index': 5153, 'end_index': 5326}]",state_of_the_union,
What significant actions has President Biden mentioned in his address regarding the auto industry and union jobs?,"[{'content': 'I was elected to office, and we raised Belvidere repeatedly with auto companies, knowing unions would make all the difference. The UAW worked like hell to keep the plant open and get these jobs back. And together, we succeeded.', 'start_index': 12438, 'end_index': 12665}, {'content': 'Instead of auto factories shutting down, auto factories are reopening and a new state-of-the-art battery factory is being built to power those cars there at the same.', 'start_index': 12667, 'end_index': 12833}, {'content': 'Because instead of watching auto ja- — jobs of the future go overseas, 4,000 union jobs with higher wages are building a future in Belvidere right here in America.', 'start_index': 12966, 'end_index': 13129}]",state_of_the_union,
What are President Biden's views on the relationship between Wall Street and the role of unions in building America?,"[{'content': 'Showing once again Wall Street didn’t build America. They’re not bad guys. They didn’t build it, though. The middle class built the country, and unions built the middle class.', 'start_index': 13523, 'end_index': 13698}]",state_of_the_union,
What are the benefits mentioned by President Biden for providing access to preschool for three- and four-year-olds?,"[{'content': 'To remain the strongest economy in the world, we need to have the best education system in the world. And I, like I suspect all of you, want to give a child \n— every child a good start by providing access to preschool for three- and four-years-old.', 'start_index': 19022, 'end_index': 19270}, {'content': 'Well, studies show that children who go to preschool are nearly 50 percent more likely to finish high school and go on to ear', 'start_index': 19563, 'end_index': 19688}]",state_of_the_union,
What economic impacts did President Biden mention as benefits of debt forgiveness?,"[{'content': 'And, folks, look, such relief is good for the economy because folks are now able to buy a home, start a business, start a family.', 'start_index': 21720, 'end_index': 21849}]",state_of_the_union,
What are some of the key benefits and changes President Biden discussed regarding Medicare and prescription drug costs?,"[{'content': 'ave Medicare the power to negotiate lower prices on prescription drugs, just like the VA is able to do for veterans.', 'start_index': 15563, 'end_index': 15679}, {'content': 'We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma.', 'start_index': 15750, 'end_index': 15875}, {'content': 'This year, Medicare is negotiating lower prices for some of the costliest drugs on the market that treat everything from heart disease to arthritis.', 'start_index': 15875, 'end_index': 16023}, {'content': 'Starting next year, the same law caps total prescription drug costs for seniors on Medicare at $200 — at $2,000 a year, even for expensive cancer drugs that cost $10-, $12-, $15,000.', 'start_index': 16308, 'end_index': 16490}]",state_of_the_union,
What steps has President Biden proposed to improve women's health research?,"[{'content': 'That’s why we’re launching the first-ever White House Initiative on Women’s Health Research, led by Jill \n— doing an incredible job as First Lady — to pa- \n— to pass my plan for $12 billion to transform women’s health research and benefit millions of lives all across America.', 'start_index': 17722, 'end_index': 17998}]",state_of_the_union,
What are the key measures President Biden mentioned to address financial fairness and consumer protection?,"[{'content': ""I'll protect and strengthen Social Security and make the wealthy pay their fair share."", 'start_index': 26437, 'end_index': 26523}, {'content': ""That's why we're cracking down on corporations that engage in price gouging and deceptive pricing, from food to healthcare to housing."", 'start_index': 26633, 'end_index': 26767}, {'content': ""My administration announced we're cutting credit card late fees from $32 to $8."", 'start_index': 27340, 'end_index': 27419}, {'content': 'My administration has proposed rules to make cable, travel, utilities, and online ticket sellers tell you the total price up front so there are no surprises.', 'start_index': 27858, 'end_index': 28015}]",state_of_the_union,
What new powers did President Biden grant to Medicare regarding prescription drug prices?,"[{'content': 'But finally, we got it done and gave Medicare the power to negotiate lower prices on prescription drugs, just like the VA is able to do for veterans.', 'start_index': 15530, 'end_index': 15679}, {'content': 'This year, Medicare is negotiating lower prices for some of the costliest drugs on the market that treat everything from heart disease to arthritis.', 'start_index': 15875, 'end_index': 16023}, {'content': ""It's now time to go further and give Medicare the power to negotiate lower prices for 500 different drugs over the next decade."", 'start_index': 16026, 'end_index': 16153}]",state_of_the_union,
What are the key benefits highlighted by President Biden regarding the construction of new chip factories in America?,"[{'content': 'Well, instead of having to import them, instead of \n— private companies are now investing billions of dollars to build new chip factories here in America creating tens of thousands of jobs, many of those jobs paying $100,000 a year and don’t require a college degree.', 'start_index': 10654, 'end_index': 10921}]",state_of_the_union,
What specific legal change concerning reproductive rights did the Alabama Supreme Court impose as described in President Biden's speech?,"[{'content': 'Fourteen months ago \n\n— fourteen months ago, she and her husband welcomed a baby girl thanks to the miracle of IVF. She scheduled treatments to have that second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by a Supreme Court decision overturning Roe v. Wade. She was told her dream would have to wait.', 'start_index': 4700, 'end_index': 5046}]",state_of_the_union,
"How much does President Biden aim to reduce the federal deficit by, and what is his method for achieving this?","[{'content': 'It’s my goal to cut the federal deficit another $3 trillion by making big corporations and the very wealthy finally beginning to pay their fair share.', 'start_index': 22308, 'end_index': 22458}]",state_of_the_union,
"What specific reproductive rights issue did Latorya Beasley face in Alabama, and what was the consequence of the Supreme Court's decision?","[{'content': 'Fourteen months ago — fourteen months ago, she and her husband welcomed a baby girl thanks to the miracle of IVF. She scheduled treatments to have that second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by a Supreme Court decision overturning Roe v. Wade. She was told her dream would have to wait.', 'start_index': 4700, 'end_index': 5044}]",state_of_the_union,
What specific tax reforms and financial goals did President Biden discuss during his State of the Union Address?,"[{'content': 'It’s my goal to cut the federal deficit another $3 trillion by making big corporations and the very wealthy finally beginning to pay their fair share.', 'start_index': 22308, 'end_index': 22458}, {'content': 'A fair tax code is how we invest in things that make this country great: healthcare, education, defense, and so much more.', 'start_index': 22598, 'end_index': 22720}, {'content': 'I also want to end tax breaks for Big Pharma, Big Oil, private jets, massive executive pay when it was only supposed to be a million bal- — a million dollars that could be deducted. They can pay them $20 million if they want, but deduct a million.', 'start_index': 24273, 'end_index': 24520}, {'content': ""It's time to raise the corporate minimum tax to at least 21 percent so every big corporation finally begins to pay their fair share."", 'start_index': 24137, 'end_index': 24269}, {'content': 'I proposed a minimum tax for billionaires of 25 percent — just 25 percent. You know what that would raise? That would raise $500 billion over the next 10 years.', 'start_index': 24928, 'end_index': 25088}]",state_of_the_union,
What financial impacts did President Biden claim would result from his proposed minimum tax for billionaires?,"[{'content': 'I proposed a minimum tax for billionaires of 25 percent — just 25 percent. You know what that would raise? That would raise $500 billion over the next 10 years.', 'start_index': 24928, 'end_index': 25088}]",state_of_the_union,
What examples of corporate tax avoidance did President Biden mention in his State of the Union Address?,"[{'content': 'Remember in 2020, 55 of the biggest companies in America made $40 billion and paid zero in federal income tax. Zero.', 'start_index': 23815, 'end_index': 23931}]",state_of_the_union,
"What specific new office did President Biden establish to address gun violence, and who is leading it?","[{'content': 'Well, I did do something by establishing the first-ever Office of Gun Violence Prevention in the White House, that the Vice President is leading the charge.', 'start_index': 37113, 'end_index': 37269}]",state_of_the_union,
What measures did President Biden take in response to threats in the Red Sea and how did he address military concerns in the region?,"[{'content': 'That’s why I built a coalition of more than a dozen countries to defend international shipping and freedom of navigation in the Red Sea.', 'start_index': 41952, 'end_index': 42088}, {'content': 'I’ve ordered strikes to degrade the Houthi capability and defend U.S. forces in the region.', 'start_index': 42088, 'end_index': 42179}, {'content': 'As Commander-in-Chief, I will not hesitate to direct further measures to protect our people and our military personnel.', 'start_index': 42181, 'end_index': 42300}]",state_of_the_union,
What were President Biden's purposes for addressing Congress and the American people during his State of the Union Address?,"[{'content': ""President Roosevelt's purpose was to wake up Congress and alert the American people that this was no ordinary time. Freedom and democracy were under assault in the world."", 'start_index': 356, 'end_index': 526}, {'content': ""Tonight, I come to the same chamber to address the nation. Now it's we who face an unprecedented moment in the history of the Union."", 'start_index': 528, 'end_index': 660}, {'content': 'And, yes, my purpose tonight is to wake up the Congress and alert the American people that this is no ordinary moment either. Not since President Lincoln and the Civil War have freedom and democracy been under assault at home as they are today.', 'start_index': 662, 'end_index': 906}]",state_of_the_union,
What specific technologies and economic practices involving China did President Biden address in his State of the Union speech?,"[{'content': 'I’ve made sure that the most advanced American technologies can’t be used in China \n— not allowing to trade them there.', 'start_index': 42971, 'end_index': 43090}, {'content': ""And we're standing up against China's unfair economic practices."", 'start_index': 42712, 'end_index': 42776}]",state_of_the_union,
What does President Biden propose to cap the monthly cost of insulin at for every American who needs it?,"[{'content': 'And I want to \n— and what to do next, I want to cap the cost of insulin at $35 a month for every American who needs it \n— everyone.', 'start_index': 15359, 'end_index': 15490}]",state_of_the_union,
What impact did the overturning of Roe v. Wade have on Latorya Beasley according to President Biden's speech?,"[{'content': 'Fourteen months ago \n— fourteen months ago, she and her husband welcomed a baby girl thanks to the miracle of IVF. She scheduled treatments to have that second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by a Supreme Court decision overturning Roe v. Wade. She was told her dream would have to wait.', 'start_index': 4700, 'end_index': 5045}]",state_of_the_union,
What key legislation mentioned by President Biden in his State of the Union address is designed to support veterans exposed to toxins?,"[{'content': 'That’s why, with the strong support and help of Denis and the VA, I signed the PACT Act — one of the most significant laws ever, helping millions of veterans exposed to toxins who now are battling more than 100 different cancers.', 'start_index': 43903, 'end_index': 44132}]",state_of_the_union,
"What are the future plans President Biden mentioned for the tax rates of big corporations and billionaires, and how will these affect the federal deficit?","[{'content': 'It’s my goal to cut the federal deficit another $3 trillion by making big corporations and the very wealthy finally beginning to pay their fair share.', 'start_index': 22308, 'end_index': 22458}, {'content': 'It’s time to raise the corporate minimum tax to at least 21 percent so every big corporation finally begins to pay their fair share.', 'start_index': 24137, 'end_index': 24269}, {'content': 'I proposed a minimum tax for billionaires of 25 percent — just 25 percent. You know what that would raise? That would raise $500 billion over the next 10 years.', 'start_index': 24928, 'end_index': 25088}]",state_of_the_union,
What specific financial impacts does President Biden claim will result from the actions his administration is taking to eliminate junk fees and reduce credit card late fees?,"[{'content': ""My administration announced we're cutting credit card late fees from $32 to $8."", 'start_index': 27340, 'end_index': 27419}, {'content': ""I'm saving American families $20 billion a year with all of the junk fees I'm eliminating."", 'start_index': 27668, 'end_index': 27758}]",state_of_the_union,
What practical steps has President Biden proposed to ensure children learn to read by the third grade?,"[{'content': 'I want to expand high-quality tutoring and summer learning to see that every child learns to read by third grade.', 'start_index': 20648, 'end_index': 20761}]",state_of_the_union,
What specific acts did President Biden urge Congress to pass to protect voting rights and support diverse American values?,"[{'content': 'Pass the Freedom to Vote Act, the John Lewis Voting Right(s) Act.', 'start_index': 33679, 'end_index': 33744}, {'content': 'Pass the Equality Act.', 'start_index': 33949, 'end_index': 33971}]",state_of_the_union,
What key elements did President Biden mention are included in the comprehensive immigration bill he introduced?,"[{'content': 'sor, on my first day in office, I introduced a comprehensive bill to fix our immigration system. Take a look at it. It has all these and more: secure the border, provide a pathway to citizenship for DREAMers, and so much more.', 'start_index': 31573, 'end_index': 31799}]",state_of_the_union,
What specific measures did President Biden propose in his State of the Union Address to make college more affordable?,"[{'content': ""And I want to make sure that college is more affordable. Let's continue increasing the Pell Grants to working- and middle-class families and increase record investments in HBCUs and minority-serving institutions, including Hispanic institutions."", 'start_index': 20921, 'end_index': 21166}]",state_of_the_union,
What specific changes did President Biden implement concerning federal tax payments by large corporations?,"[{'content': 'Thanks to the law I wrote and we signed, big companies now have to pay a minimum of 15 percent.', 'start_index': 23976, 'end_index': 24071}, {'content': ""It's time to raise the corporate minimum tax to at least 21 percent so every big corporation finally begins to pay their fair share."", 'start_index': 24137, 'end_index': 24269}]",state_of_the_union,
What outcomes have been achieved from elections regarding reproductive freedom according to President Biden?,"[{'content': 'When reproductive freedom was on the ballot, we won in 2022 and 2023.', 'start_index': 6946, 'end_index': 7015}]",state_of_the_union,
What specific actions did President Biden mention in his address regarding the issue of student debt relief?,"[{'content': 'When I was told I couldn’t universally just change the way in which we did \n— dealt with student loans, I fixed two student loan programs that already existed to reduce the burden of student debt for nearly 4 million Americans, including nurses, firefighters and others in public service.', 'start_index': 21168, 'end_index': 21456}]",state_of_the_union,
What actions has President Biden urged Congress to take regarding Ukraine during his State of the Union Address?,"[{'content': 'I say this to Congress: We have to stand up to Putin. Send me a bipartisan national security bill.', 'start_index': 2589, 'end_index': 2687}]",state_of_the_union,
"What improvements occurred in Belvidere, Illinois, as described by President Biden in his State of the Union Address?","[{'content': 'The great comeback story is Belvidere, Illinois. Home to an auto plant for nearly 60 years. Before I came to office, the plant was on its way to shutting down. Thousands of workers feared for their livelihoods. Hope was fading.', 'start_index': 12203, 'end_index': 12430}, {'content': 'Then, I was elected to office, and we raised Belvidere repeatedly with auto companies, knowing unions would make all the difference. The UAW worked like hell to keep the plant open and get these jobs back. And together, we succeeded.', 'start_index': 12432, 'end_index': 12665}, {'content': 'Instead of auto factories shutting down, auto factories are reopening and a new state-of-the-art battery factory is being built to power those cars there at the same.', 'start_index': 12667, 'end_index': 12833}, {'content': ""To the folks \n— to the folks of Belvidere, I'd say: Instead of your town being left behind, your community is moving forward again. Because instead of watching auto ja- \n— jobs of the future go overseas, 4,000 union jobs with higher wages are building a future in Belvidere right here in America."", 'start_index': 12833, 'end_index': 13129}]",state_of_the_union,
"What specific measures has President Biden described to address issues related to food, healthcare, and housing pricing practices?","[{'content': 'That’s why we’re cracking down on corporations that engage in price gouging and deceptive pricing, from food to healthcare to housing.', 'start_index': 26633, 'end_index': 26767}]",state_of_the_union,
What did President Biden express as the guiding principles for handling humanitarian aid in relation to Israel and Gaza?,"[{'content': ""And Israel must also do its part. Israel must allow more aid into Gaza and ensure humanitarian workers aren't caught in the crossfire."", 'start_index': 40801, 'end_index': 40935}, {'content': 'To the leadership of Israel, I say this: Humanitarian assistance cannot be a secondary consideration or a bargaining chip. Protecting and saving innocent lives has to be a priority.', 'start_index': 41035, 'end_index': 41216}]",state_of_the_union,
"What specific veteran-related law did President Biden sign, and what is its significance?","[{'content': 'That’s why, with the strong support and help of Denis and the VA, I signed the PACT Act \n— one of the most significant laws ever, helping millions of veterans exposed to toxins who now are battling more than 100 different cancers.', 'start_index': 43903, 'end_index': 44133}]",state_of_the_union,
What significant gun safety law did President Biden mention signing during his State of the Union Address?,"[{'content': ""I'm proud we beat the NRA when I signed the most significant gun safety law in nearly 30 years because of this Congress."", 'start_index': 37631, 'end_index': 37751}]",state_of_the_union,
What specific benefits did President Biden discuss related to healthcare under the Affordable Care Act during his State of the Union Address?,"[{'content': 'Over 100 million of you can no longer be denied health insurance because of a preexisting condition.', 'start_index': 16992, 'end_index': 17092}]",state_of_the_union,
What specific actions did President Biden mention in his State of the Union Address regarding housing and renters?,"[{'content': 'I want to provide an annual tax credit that will give Americans $400 a month for the next two years as mortgage rates come down to put toward their mortgages when they buy their first home or trade up for a little more space.', 'start_index': 18170, 'end_index': 18395}, {'content': 'And my administration is also eliminating title insurance (fees) on federally backed mortgages. When you refinance your home, you can save $1,000 or more as a consequence.', 'start_index': 18421, 'end_index': 18592}, {'content': ""For millions of renters, we're cracking down on big landlords who use antitrust law \n—using antitrust \n— who break antitrust laws by price-fixing and driving up rents."", 'start_index': 18592, 'end_index': 18759}]",state_of_the_union,
What did President Biden pledge regarding the situation of hostages held by Hamas according to his State of the Union Address?,"[{'content': 'Here in this chamber tonight are families whose loved ones are still being held by Hamas. I pledge to all the families that we will not rest until we bring every one of your loved ones home.', 'start_index': 38642, 'end_index': 38832}]",state_of_the_union,
What specific measures did President Biden propose in his address to expedite the resolution of immigration cases?,"[{'content': 'agents and officers, 100 more immigration judges to help tackle the backload of 2 million cases, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now.', 'start_index': 28515, 'end_index': 28722}]",state_of_the_union,
What specific immigration reforms did President Biden introduce on his first day in office according to his State of the Union Address?,"[{'content': 'Unlike my predecessor, on my first day in office, I introduced a comprehensive bill to fix our immigration system.', 'start_index': 31555, 'end_index': 31669}]",state_of_the_union,
What significant voting rights legislation did President Biden urge Congress to pass during his State of the Union Address?,"[{'content': 'Pass the Freedom to Vote Act, the John Lewis Voting Right(s) Act.', 'start_index': 33679, 'end_index': 33744}]",state_of_the_union,
What specific actions has President Biden announced to reduce unexpected costs for consumers in financial transactions?,"[{'content': ""My administration announced we're cutting credit card late fees from $32 to $8."", 'start_index': 27340, 'end_index': 27419}, {'content': ""Banks and credit card companies are allowed to charge what it costs them to in- — to instigate the collection. And that's more — a hell of a lot like $8 than 30-some dollars."", 'start_index': 27421, 'end_index': 27595}, {'content': ""I'm saving American families $20 billion a year with all of the junk fees I'm eliminating."", 'start_index': 27668, 'end_index': 27758}]",state_of_the_union,
What specific measures has President Biden outlined for handling the situation with Iran as mentioned in his State of the Union Address?,"[{'content': ""Creating stability in the Middle East also means containing the threat posed by Iran. That's why I built a coalition of more than a dozen countries to defend international shipping and freedom of navigation in the Red Sea."", 'start_index': 41864, 'end_index': 42086}, {'content': ""I've ordered strikes to degrade the Houthi capability and defend U.S. forces in the region."", 'start_index': 42088, 'end_index': 42179}, {'content': 'As Commander-in-Chief, I will not hesitate to direct further measures to protect our people and our military personnel.', 'start_index': 42181, 'end_index': 42300}]",state_of_the_union,
What specific actions did President Biden highlight in his State of the Union Address related to the tax burden of large corporations and the wealthy?,"[{'content': 'It’s my goal to cut the federal deficit another $3 trillion by making big corporations and the very wealthy finally beginning to pay their fair share.', 'start_index': 22308, 'end_index': 22458}, {'content': 'A fair tax code is how we invest in things that make this country great: healthcare, education, defense, and so much more.', 'start_index': 22598, 'end_index': 22720}, {'content': 'I also want to end tax breaks for Big Pharma, Big Oil, private jets, massive executive pay when it was only supposed to be a million bal- — a million dollars that could be deducted. They can pay them $20 million if they want, but deduct a million.', 'start_index': 24273, 'end_index': 24520}, {'content': 'It’s time to raise the corporate minimum tax to at least 21 percent so every big corporation finally begins to pay their fair share.', 'start_index': 24137, 'end_index': 24269}, {'content': ""Thanks to the law I wrote and we signed, big companies now have to pay a minimum of 15 percent. But that's still less than working people pay in federal taxes."", 'start_index': 23976, 'end_index': 24135}]",state_of_the_union,
What examples did President Biden use to illustrate the role of the middle class and unions in building America during his State of the Union Address?,"[{'content': 'Showing once again Wall Street didn’t build America. They’re not bad guys. They didn’t build it, though. The middle class built the country, and unions built the middle class.', 'start_index': 13523, 'end_index': 13698}]",state_of_the_union,
What specific legislative acts did President Biden urge Congress to pass in his State of the Union Address?,"[{'content': 'Pass the Freedom to Vote Act, the John Lewis Voting Right(s) Act.', 'start_index': 33679, 'end_index': 33744}, {'content': 'Pass the Equality Act.', 'start_index': 33949, 'end_index': 33971}, {'content': ""Pass the PRO Act for workers' rights."", 'start_index': 34031, 'end_index': 34068}]",state_of_the_union,
What did President Biden promise to do if Congress that supports reproductive rights is elected?,"[{'content': 'If you \n— if you, the American people, send me a Congress that supports the right to choose, I promise you I will restore Roe v. Wade as the law of the land again.', 'start_index': 7046, 'end_index': 7209}]",state_of_the_union,
What historical voting rights legislation did President Biden refer to in his State of the Union Address that was signed into law five months following Bloody Sunday?,"[{'content': 'Five months later, the Voting Rights Act passed and was signed into law.', 'start_index': 33250, 'end_index': 33322}]",state_of_the_union,
What specific authority does President Biden propose he and future presidents should have regarding the U.S. border in emergency situations?,"[{'content': 'd also give me and any new president new emergency authority to temporarily shut down the border when the number of migrants at the border is overwhelming.', 'start_index': 29004, 'end_index': 29159}]",state_of_the_union,
